rank,title,articleTitle,year,wikipediaUrl,popularityScore,monthlyAverageViews,materialConfidence,materialSignals
215,Major General George Henry Thomas,Equestrian statue of George Henry Thomas,1879,https://en.wikipedia.org/wiki/Equestrian_statue_of_George_Henry_Thomas,0,0,unknown,
216,Major General Nathanael Greene,Equestrian statue of Nathanael Greene,1877,https://en.wikipedia.org/wiki/Equestrian_statue_of_Nathanael_Greene,0,0,unknown,
217,Major General Marquis Gilbert de Lafayette,"Statue of the Marquis de Lafayette (Washington, D.C.)",1890,https://en.wikipedia.org/wiki/Statue_of_the_Marquis_de_Lafayette_(Washington%2C_D.C.),0,0,unknown,
218,Mary Salome and Zebedee,Mary Salome and Zebedee,1505,https://en.wikipedia.org/wiki/Mary_Salome_and_Zebedee,0,0,unknown,
219,Medusa,Medusa (Bernini),1640,https://en.wikipedia.org/wiki/Medusa_(Bernini),0,0,unknown,
220,Memorial to Maria Raggi,Memorial to Maria Raggi,1647,https://en.wikipedia.org/wiki/Memorial_to_Maria_Raggi,0,0,unknown,
221,Midsummer Carnival Shaft,Midsummer Carnival Shaft,1900,https://en.wikipedia.org/wiki/Midsummer_Carnival_Shaft,0,0,unknown,
222,Battle of the Centaurs,Battle of the Centaurs (Michelangelo),1492,https://en.wikipedia.org/wiki/Battle_of_the_Centaurs_(Michelangelo),0,0,unknown,
223,Military Courage,Military Courage,1885,https://en.wikipedia.org/wiki/Military_Courage,0,0,unknown,
224,Saqqara Bird,Saqqara Bird,-150,https://en.wikipedia.org/wiki/Saqqara_Bird,0,0,unknown,
225,The Deposition,The Deposition (Michelangelo),1600,https://en.wikipedia.org/wiki/The_Deposition_(Michelangelo),0,0,unknown,
226,Nicolaus Copernicus Monument in Toruń,"Nicolaus Copernicus Monument, Toruń",1853,https://en.wikipedia.org/wiki/Nicolaus_Copernicus_Monument%2C_Toru%C5%84,0,0,unknown,
227,The Rape of Proserpina,The Rape of Proserpina,1624,https://en.wikipedia.org/wiki/The_Rape_of_Proserpina,0,0,unknown,
228,The Kiss,The Kiss (Rodin sculpture),1880,https://en.wikipedia.org/wiki/The_Kiss_(Rodin_sculpture),0,0,unknown,
229,Saint Proculus,Saint Proculus (Michelangelo),1494,https://en.wikipedia.org/wiki/Saint_Proculus_(Michelangelo),0,0,unknown,
230,Angel,Angel (Michelangelo),1494,https://en.wikipedia.org/wiki/Angel_(Michelangelo),0,0,unknown,
231,Saint Petronius,Saint Petronius (Michelangelo),1494,https://en.wikipedia.org/wiki/Saint_Petronius_(Michelangelo),0,0,unknown,
232,St. Peter's Baldachin,St. Peter's Baldachin,1620,https://en.wikipedia.org/wiki/St._Peter's_Baldachin,0,0,unknown,
