rank,uid,title,creator,estimatedArtist,estimatedPeriod,faceCount,vertexCount,likeCount,viewCount,commentCount,archiveTypes,viewerUrl,publishedAt
77,067c5296c53f4447b15c048d64ddfbc5,Bust of Sophocles - Uffizi Gallery,VIMUNE,,renaissance,480688,398257,45,1500,1,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-067c5296c53f4447b15c048d64ddfbc5,2022-04-09T14:40:11.748352
78,ec71cf1b0cc347719118cce04a14aea0,Life Cast of Left Forearm and Hand,The Smithsonian Institution,hiram powers,,150000,89913,46,1381,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-ec71cf1b0cc347719118cce04a14aea0,2020-02-21T23:30:25.765248
79,587e65f2d904440488a98dfa9a4e9dbe,Force,Katie Wolfe,barye,,999053,810071,50,899,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-587e65f2d904440488a98dfa9a4e9dbe,2021-04-19T16:43:51.641559
80,d4e59f2f8b5c49e9b2c174e8c4431c6c,1944.129.1 Young Satyress,Cleveland Museum of Art,clodion,,45000,43910,51,746,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-d4e59f2f8b5c49e9b2c174e8c4431c6c,2023-01-30T21:57:25.882272
81,6c05ce29c6a44dbe8bb6f8b62d192871,1944.129.2 Young Satyr,Cleveland Museum of Art,clodion,,45000,44214,50,690,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-6c05ce29c6a44dbe8bb6f8b62d192871,2023-01-30T21:49:03.290970
82,41dd704633244bb1ad4f13d8a50fccd1,Le Baiser,Migg,rodin,,1000102,807642,37,1467,1,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-41dd704633244bb1ad4f13d8a50fccd1,2022-07-30T16:45:09.090529
83,f3e38e8d27444612838f25a070091c1c,Bust of Józef Szujski,Virtual Museums of Małopolska,,19th century,97760,51165,38,1378,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-f3e38e8d27444612838f25a070091c1c,2022-07-06T06:12:23.630443
84,aaa5bfbe7ed24ceebc3fb98dd68c0f4c,"Heroic Head of Pierre de Wissant, 1886",Thomas Flynn,rodin,,623354,400842,35,1428,3,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-aaa5bfbe7ed24ceebc3fb98dd68c0f4c,2017-04-21T13:04:27.292504
85,f6e8a5eeb8bc4d6ab249047472e1ae8b,Bust of Angélique d'Hannetaire_Restored,Digital_Restoration,,romantic,499836,378297,42,785,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-f6e8a5eeb8bc4d6ab249047472e1ae8b,2021-07-18T11:24:23.721735
86,42b2188e2d51491c84fe9301ab4bf35f,Paysanne française (maternity),Fitzwilliam Museum,jules dalou,,500000,281039,39,1040,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-42b2188e2d51491c84fe9301ab4bf35f,2020-02-07T13:21:13.331007
87,27339621613d4d55a61d9e58bd6ef908,The thinker,Kinan Qazan,rodin,,14184,42552,29,2014,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-27339621613d4d55a61d9e58bd6ef908,2023-04-12T14:45:42.861664
88,1d8371018dd54403955b3f535c311dc9,2025.18 Fata Morgana,Cleveland Museum of Art,giambologna,,181890,106183,36,941,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-1d8371018dd54403955b3f535c311dc9,2025-06-24T13:33:40.425804
89,1eb31a6acb394f95b9c0b13cfafff5c7,Penitent Magdalene by Canova,auriea,canova,,24356,12577,33,1218,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-1eb31a6acb394f95b9c0b13cfafff5c7,2016-06-30T11:18:58.590435
90,cf47a9bcac3f4a38bb7190d249e36ac5,Woman,shinya,rodin,,50724,110313,31,1205,1,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-cf47a9bcac3f4a38bb7190d249e36ac5,2021-06-30T22:20:11.667254
91,8e068981952e40ff8b57ab96d935fa07,317: Benjamin Franklin,alexdelker,houdon,,40560,23568,24,1832,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-8e068981952e40ff8b57ab96d935fa07,2021-11-13T20:35:12.160019
92,ef9c4850987c4227b2af6379d71b81f8,Pieta,MSU Broad Art Museum,,renaissance,1621007,1030919,27,1267,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-ef9c4850987c4227b2af6379d71b81f8,2017-04-13T15:57:04.362142
93,a4e9a268c5a54837ad61a407ec6b2fdf,"Esbós d'Isabel II amb el Príncep d'Astúries, UB",Giravolt,,19th century,199974,128902,32,795,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-a4e9a268c5a54837ad61a407ec6b2fdf,2019-12-11T15:07:03.812816
94,ee1a38494f614aea8014e81a42cb32ea,18th Century lady sculpture,Aupuma,,18th century,109162,62452,32,765,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-ee1a38494f614aea8014e81a42cb32ea,2022-04-16T21:49:48.439788
95,6f999a9fa18c4816b05855c107c4f859,Buste de Jane Poupelet par Lucien Schnegg,"Alienor.org, Conseil des musées",rodin,,650508,374684,26,1011,1,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-6f999a9fa18c4816b05855c107c4f859,2020-05-28T11:17:43.384517
96,ed178a81fdf349868e35deda14bbfc7b,Pitti Tondo by Michelangelo,jerryfisher,michelangelo,renaissance,810402,531161,25,861,2,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-ed178a81fdf349868e35deda14bbfc7b,2016-06-07T03:39:58.141296
97,9c334230d1c24f358f8f86bf634041d3,CentaurStatue,local.yany,michelangelo,renaissance,201220,122761,26,858,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-9c334230d1c24f358f8f86bf634041d3,2026-01-16T09:53:22.543021
